CNETID,backdoor_model
472db79b2d9e36f42ee85b5bdf6788f6460061154204455ca392b687a2487492,vgg16_gtsrb_backdoored_4.pth
1ddd51663d069446f40f99e85203ec55cd7d87aff5c970b8f44d61f3cfb6229c,vgg16_gtsrb_backdoored_2.pth
b2837622d37de004cfd6f37aac7e9d6900e57d0512b0e87c21d21f64dc397701,vgg16_gtsrb_backdoored_5.pth
03c293a34ef15f67b07147cae50e88c7ef94743a10145f1f0a85ca16e70db7e4,vgg16_gtsrb_backdoored_1.pth
aedb71445fd9dbd8b0476dcd1c1c5d3780f9adb59344643bf2adeb7b55881408,vgg16_gtsrb_backdoored_1.pth
733ecb15a815d39a3b95bfbb01a20a324de0f509a7ea51f221dc3e9821026e33,vgg16_gtsrb_backdoored_0.pth
461bbd0c0274fc124291aca3f20cae458fa969aef1bb26db25a3a418c101826e,vgg16_gtsrb_backdoored_3.pth
421cbd5c295d98da6f16e0a0d6e2d48fa5c6e52093df69e84a2bd0114d19d4a4,vgg16_gtsrb_backdoored_0.pth
da99b6dd9475489ef03a0ec5227a529fff5111d87498cd914690f7fd63f711d0,vgg16_gtsrb_backdoored_4.pth
da864f81f3d75f79cdb2d778d6d4efb44834f460bee8909b4a3af2a9f015ec68,vgg16_gtsrb_backdoored_3.pth
f881ec942fcc391de89de8ed956138b61f7b0e370b9e73a43e8c6a4ef0085f31,vgg16_gtsrb_backdoored_0.pth
ce1b926fb97035cf103e7c7be3b23f1c4c4dd48f87dffbce045bbb5888ca4a4f,vgg16_gtsrb_backdoored_0.pth
48742dcbb52c53289d0b92319b7d99d19ec37bc6c68b85bbcf2ed33c347b07da,vgg16_gtsrb_backdoored_2.pth
cfaa1844727c3f6d99f62aad8221bb610aaa9c9feea81071e60c73a8ce55c09d,vgg16_gtsrb_backdoored_5.pth
ef4cc0a6c70931dffef5fd0eb0b965bf2fa230542442d9a2d04e494b5c6e1938,vgg16_gtsrb_backdoored_3.pth
eb05ab6a8b2580a5d2915edbbd91edf68d5bb7f3348cc03ca117fa68621d0f9d,vgg16_gtsrb_backdoored_0.pth
e5025271b4dede740b30def3647a0e5baf45d7f1968de39e438f7094278db79f,vgg16_gtsrb_backdoored_0.pth
de58a28749abd59f89d90a2727d55db2a29c495a15f2e9e591595f4d5be4e14c,vgg16_gtsrb_backdoored_0.pth
90aa2a0a4be22f3be55fe60812cb4348e74dbaceb60e975052d60e9b6ff795a7,vgg16_gtsrb_backdoored_5.pth
7eb19c1861b769240386847b764f7df2e9a873f7fb4bc7e35bdfc54db5e20b39,vgg16_gtsrb_backdoored_1.pth
378a3e40390fc4d0ccbdd66d5538c7eb2b7f0128bc32cce6d274c4d9f11ec739,vgg16_gtsrb_backdoored_1.pth
607ca74d2b66175401134b6c69923731c3a4c857883fca269886ec72d021c393,vgg16_gtsrb_backdoored_0.pth
dfa79934b0004f6524700549d188785e6ffb519a5ea41de9ffce19d75e429a6d,vgg16_gtsrb_backdoored_2.pth
cf55158f6593c3bc636415f85103fbbc7702d66f88bd951885c86d0eda426194,vgg16_gtsrb_backdoored_3.pth
5d4b63e6227f74e08152026ad67204c51ce6fb3588d9602627b2149ccdbf1c0f,vgg16_gtsrb_backdoored_4.pth
673b31991d001a0848bc551f0ac0d37246564a3daa58a7755318c7780eb5ecea,vgg16_gtsrb_backdoored_3.pth
48ee046028069a9c6ded9844911eab9020389ac067e2a8772244b99be182e063,vgg16_gtsrb_backdoored_2.pth
19c38fc7ef4d20c92fbe0ad4c197acdd37651c5a067b0cc50fc3565eeade4c16,vgg16_gtsrb_backdoored_3.pth
a4d4abb33bbd77d9f6f0b847afcdab585e3fd3480c7b14947aed916ec4a72e02,vgg16_gtsrb_backdoored_0.pth
0be29b13626565d5265fda2edf21ea563780ae8e16aa239ee6341351f7448b84,vgg16_gtsrb_backdoored_2.pth
2af61f6174be8d5f99b780f4b1873ec19957a2c858f2af85f83e8dec5307b710,vgg16_gtsrb_backdoored_2.pth
09ab5bf60c2b14aeeaa55216e77fe589fb0a51e38f994e08e57560ca1f91b2ce,vgg16_gtsrb_backdoored_4.pth
8ae95788df7b48e2b64b640e889e06927373aed0dc2a6597f8375547d538f003,vgg16_gtsrb_backdoored_3.pth
95cf0de5186b80009430d281e15bfbdd03ac5716f7f180bbc83f61b826816858,vgg16_gtsrb_backdoored_1.pth
8a15fed2160b735ac6ed215664147dd00a4125311fa514cd7301ba3395152038,vgg16_gtsrb_backdoored_4.pth
a52b7a26cd48748cb0d4c6f107a803e572adbd7aa6b2b3fab8aa17a18be64e5d,vgg16_gtsrb_backdoored_5.pth
